2.139367103576660156e+00,1.587755861692130566e-03,8.748470544815063477e-01
2.189854145050048828e+00,1.442562788724899292e-03,8.945882916450500488e-01
2.136935710906982422e+00,1.418583444319665432e-03,8.900589346885681152e-01
2.139668464660644531e+00,1.420420361682772636e-03,8.906875848770141602e-01
2.134375572204589844e+00,1.420864602550864220e-03,8.904978632926940918e-01
2.134014129638671875e+00,1.419855048879981041e-03,8.907325863838195801e-01
2.131389617919921875e+00,1.419250154867768288e-03,8.910298347473144531e-01
2.129415988922119141e+00,1.418653642758727074e-03,8.913667201995849609e-01
2.127287387847900391e+00,1.418224303051829338e-03,8.917172551155090332e-01
2.125168323516845703e+00,1.417798222973942757e-03,8.920568227767944336e-01
2.123094081878662109e+00,1.417388208210468292e-03,8.923926949501037598e-01
2.121061086654663086e+00,1.416990882717072964e-03,8.927248716354370117e-01
2.119073390960693359e+00,1.416606013663113117e-03,8.930527567863464355e-01
2.117127656936645508e+00,1.416234532371163368e-03,8.933766484260559082e-01
2.115224361419677734e+00,1.415875973179936409e-03,8.936962485313415527e-01
2.113362312316894531e+00,1.415529288351535797e-03,8.940117359161376953e-01
2.111541986465454102e+00,1.415195642039179802e-03,8.943232297897338867e-01
2.109761714935302734e+00,1.414874219335615635e-03,8.946307301521301270e-01
2.108023166656494141e+00,1.414565602317452431e-03,8.949344158172607422e-01
2.106321096420288086e+00,1.414267695508897305e-03,8.952338695526123047e-01
2.104668617248535156e+00,1.413985155522823334e-03,8.955304026603698730e-01
2.103035926818847656e+00,1.413707504980266094e-03,8.958207368850708008e-01
2.101473808288574219e+00,1.413456629961729050e-03,8.961142897605895996e-01
2.099872589111328125e+00,1.413189689628779888e-03,8.963878750801086426e-01
2.098420619964599609e+00,1.413003075867891312e-03,8.966901302337646484e-01
2.096505880355834961e+00,1.412662677466869354e-03,8.969354629516601562e-01
2.096030235290527344e+00,1.412740675732493401e-03,8.973053097724914551e-01
2.093685150146484375e+00,1.411717152222990990e-03,8.972884416580200195e-01
2.096417427062988281e+00,1.412732526659965515e-03,8.984343409538269043e-01
2.092922925949096680e+00,1.411151257343590260e-03,8.971449136734008789e-01
2.077810287475585938e+00,1.413903781212866306e-03,9.018349051475524902e-01
2.028743267059326172e+00,1.424390939064323902e-03,9.027019143104553223e-01
2.109472513198852539e+00,1.505032763816416264e-03,9.048733711242675781e-01
